COUNTRY, TERMINAL, SENSOR,TEMPRED,TEMPYELLOW,TEMPBLUE, X, Y, Z, TIMESTAMPDATE, TIMESTAMPTIME
108,1,1,2231,2193,2225,461,476,485,1-30-2017,09:53
108,1,1,2231,2187,2225,469,482,492,1-30-2017,09:56
108,1,1,2231,2193,2225,471,485,496,1-30-2017,09:59
108,1,1,2231,2193,2225,467,480,491,1-30-2017,10:02
108,1,1,2231,2193,2225,467,479,490,1-30-2017,10:05
108,1,1,2231,2187,2225,474,487,498,1-30-2017,10:08
108,1,1,2231,2193,2225,473,486,497,1-30-2017,10:11
108,1,1,2231,2193,2225,470,483,494,1-30-2017,10:14
108,1,1,2231,2187,2225,469,481,493,1-30-2017,10:17
108,1,1,2231,2187,2225,469,481,492,1-30-2017,10:20
108,1,1,2231,2187,2218,465,477,487,1-30-2017,10:23
108,1,1,2225,2187,2218,463,476,487,1-30-2017,10:26
108,1,1,2225,2187,2218,465,478,489,1-30-2017,10:29
108,1,1,2225,2187,2218,466,479,490,1-30-2017,10:32
108,1,1,2225,2187,2218,466,479,490,1-30-2017,10:35
108,1,1,2225,2187,2218,466,478,490,1-30-2017,10:38
108,1,1,2225,2187,2218,467,479,490,1-30-2017,10:41
108,1,1,2225,2187,2218,469,482,493,1-30-2017,10:44
108,1,1,2225,2187,2218,469,482,493,1-30-2017,10:47
108,1,1,2225,2187,2218,466,478,490,1-30-2017,10:50
108,1,1,2225,2181,2218,463,475,484,1-30-2017,10:53
108,1,1,2225,2181,2218,463,476,487,1-30-2017,10:56
108,1,1,2225,2181,2218,465,479,490,1-30-2017,10:59
108,1,1,2225,2181,2218,467,480,491,1-30-2017,11:02
108,1,1,2225,2181,2218,467,480,490,1-30-2017,11:05
108,1,1,2225,2181,2218,465,477,489,1-30-2017,11:08
108,1,1,2225,2181,2218,465,477,489,1-30-2017,11:11
108,1,1,2225,2181,2218,467,479,490,1-30-2017,11:14
108,1,1,2225,2181,2218,469,482,492,1-30-2017,11:17
108,1,1,2225,2181,2218,469,482,493,1-30-2017,11:20
108,1,1,2225,2181,2218,464,476,486,1-30-2017,11:23
108,1,1,2225,2181,2218,464,477,488,1-30-2017,11:26
108,1,1,2225,2181,2218,464,477,488,1-30-2017,11:29
108,1,1,2225,2181,2212,462,474,486,1-30-2017,11:32
108,1,1,2225,2181,2212,462,474,486,1-30-2017,11:35
108,1,1,2225,2181,2212,465,477,489,1-30-2017,11:38
108,1,1,2225,2181,2212,468,480,492,1-30-2017,11:41
108,1,1,2218,2181,2212,468,481,492,1-30-2017,11:44
108,1,1,2218,2181,2212,467,480,492,1-30-2017,11:47
108,1,1,2218,2181,2212,465,477,490,1-30-2017,11:50
108,1,1,2225,2181,2218,463,475,485,1-30-2017,11:53
108,1,1,2225,2181,2218,462,474,485,1-30-2017,11:56
108,1,1,2218,2181,2212,464,477,488,1-30-2017,11:59
108,1,1,2218,2181,2212,466,479,490,1-30-2017,12:02
108,1,1,2218,2181,2212,462,475,486,1-30-2017,12:05
108,1,1,2218,2181,2212,464,476,488,1-30-2017,12:08
108,1,1,2218,2181,2212,467,479,491,1-30-2017,12:11
108,1,1,2218,2181,2212,468,481,492,1-30-2017,12:14
108,1,1,2218,2181,2212,468,481,493,1-30-2017,12:17
108,1,1,2218,2181,2212,468,481,492,1-30-2017,12:20
108,1,1,2218,2181,2206,463,474,484,1-30-2017,12:23
108,1,1,2218,2181,2206,464,476,487,1-30-2017,12:26
108,1,1,2218,2181,2212,465,478,489,1-30-2017,12:29
108,1,1,2218,2181,2206,462,474,486,1-30-2017,12:32
108,1,1,2218,2181,2212,462,473,485,1-30-2017,12:35
108,1,1,2218,2175,2212,467,480,491,1-30-2017,12:38
108,1,1,2218,2175,2212,467,480,491,1-30-2017,12:41
108,1,1,2218,2175,2212,465,477,489,1-30-2017,12:44
108,1,1,2218,2175,2212,467,480,491,1-30-2017,12:47
108,1,1,2218,2175,2212,466,479,491,1-30-2017,12:50
108,1,1,2218,2181,2212,464,477,487,1-30-2017,12:53
108,1,1,2218,2175,2212,461,473,486,1-30-2017,12:56
108,1,1,2218,2175,2212,462,474,486,1-30-2017,12:59
108,1,1,2218,2175,2212,465,478,489,1-30-2017,13:02
108,1,1,2218,2175,2206,461,473,485,1-30-2017,13:05
108,1,1,2218,2175,2212,465,477,489,1-30-2017,13:08
108,1,1,2218,2175,2212,468,480,492,1-30-2017,13:11
108,1,1,2218,2175,2212,465,477,489,1-30-2017,13:14
108,1,1,2212,2175,2212,467,480,491,1-30-2017,13:17
108,1,1,2218,2175,2212,465,477,488,1-30-2017,13:20
108,1,1,2218,2175,2212,470,483,493,1-30-2017,13:23
108,1,1,2218,2175,2212,462,474,486,1-30-2017,13:26
108,1,1,2218,2175,2212,463,475,487,1-30-2017,13:29
108,1,1,2218,2175,2212,464,478,489,1-30-2017,13:32
108,1,1,2218,2175,2212,461,473,485,1-30-2017,13:35
108,1,1,2218,2175,2212,468,481,492,1-30-2017,13:38
108,1,1,2218,2175,2212,466,479,491,1-30-2017,13:41
108,1,1,2218,2175,2212,467,479,491,1-30-2017,13:44
108,1,1,2218,2175,2212,464,476,488,1-30-2017,13:47
108,1,1,2218,2175,2212,467,479,490,1-30-2017,13:50
108,1,1,2212,2175,2212,464,476,486,1-30-2017,13:53
108,1,1,2212,2175,2206,462,474,486,1-30-2017,13:56
108,1,1,2212,2175,2206,462,474,485,1-30-2017,13:59
108,1,1,2212,2175,2206,464,476,488,1-30-2017,14:02
108,1,1,2212,2175,2206,465,478,489,1-30-2017,14:05
108,1,1,2212,2175,2206,467,479,491,1-30-2017,14:08
108,1,1,2206,2175,2206,465,477,489,1-30-2017,14:11
108,1,1,2206,2175,2200,461,472,485,1-30-2017,14:14
108,1,1,2206,2175,2200,492,508,520,1-30-2017,14:17
108,1,1,2206,2175,2200,466,478,492,1-30-2017,14:20
108,1,1,2206,2175,2200,467,479,488,1-30-2017,14:23
108,1,1,2206,2168,2200,460,471,483,1-30-2017,14:26
108,1,1,2206,2168,2200,461,472,484,1-30-2017,14:29
108,1,1,2206,2168,2200,461,474,485,1-30-2017,14:32
108,1,1,2206,2168,2200,463,475,486,1-30-2017,14:35
108,1,1,2206,2168,2200,468,481,492,1-30-2017,14:38
108,1,1,2206,2168,2200,464,476,487,1-30-2017,14:41
108,1,1,2206,2168,2200,465,477,488,1-30-2017,14:44
108,1,1,2206,2168,2200,469,482,492,1-30-2017,14:47
108,1,1,2206,2168,2200,464,476,488,1-30-2017,14:50
108,1,1,2581,2175,2206,462,474,484,1-30-2017,14:53
108,1,1,2556,2175,2206,461,473,485,1-30-2017,14:56
108,1,1,2537,2168,2206,461,473,485,1-30-2017,14:59
108,1,1,2518,2175,2337,463,475,486,1-30-2017,15:02
108,1,1,2500,2175,2475,464,476,487,1-30-2017,15:05
108,1,1,2475,2168,2543,464,476,487,1-30-2017,15:08
108,1,1,2462,2168,2581,466,477,489,1-30-2017,15:11
108,1,1,2450,2168,2568,466,478,490,1-30-2017,15:14
108,1,1,2437,2168,2550,467,479,490,1-30-2017,15:17
108,1,1,2425,2168,2531,467,479,491,1-30-2017,15:20
108,1,1,2337,2175,2418,462,474,484,1-30-2017,15:23
108,1,1,2337,2175,2412,461,472,484,1-30-2017,15:26
108,1,1,2331,2175,2406,464,477,488,1-30-2017,15:29
108,1,1,2325,2175,2393,464,477,488,1-30-2017,15:32
108,1,1,2318,2175,2387,461,473,485,1-30-2017,15:35
108,1,1,2312,2175,2381,464,476,488,1-30-2017,15:38
108,1,1,2312,2175,2375,467,480,491,1-30-2017,15:41
108,1,1,2306,2175,2368,469,481,493,1-30-2017,15:44
108,1,1,2300,2175,2362,464,476,488,1-30-2017,15:47
108,1,1,2300,2175,2356,465,477,489,1-30-2017,15:50
108,1,1,2268,2175,2312,466,478,488,1-30-2017,15:53
108,1,1,2262,2175,2306,465,478,489,1-30-2017,15:56
108,1,1,2262,2175,2306,462,475,486,1-30-2017,15:59
108,1,1,2262,2175,2300,461,473,485,1-30-2017,16:02
108,1,1,2256,2175,2300,460,472,484,1-30-2017,16:05
108,1,1,2256,2175,2293,464,476,488,1-30-2017,16:08
108,1,1,2256,2175,2293,466,478,490,1-30-2017,16:11
108,1,1,2250,2175,2287,469,482,493,1-30-2017,16:14
108,1,1,2250,2175,2287,466,478,491,1-30-2017,16:17
108,1,1,2250,2175,2281,464,476,488,1-30-2017,16:20
108,1,1,2237,2175,2262,462,474,484,1-30-2017,16:23
108,1,1,2237,2175,2262,461,473,485,1-30-2017,16:26
108,1,1,2237,2175,2262,463,475,487,1-30-2017,16:29
108,1,1,2231,2175,2262,460,472,484,1-30-2017,16:32
108,1,1,2231,2175,2256,463,475,486,1-30-2017,16:35
108,1,1,2231,2175,2256,464,475,488,1-30-2017,16:38
108,1,1,2231,2175,2256,464,475,488,1-30-2017,16:41
108,1,1,2231,2175,2250,463,475,487,1-30-2017,16:44
108,1,1,2231,2175,2250,464,476,488,1-30-2017,16:47
108,1,1,2225,2175,2250,464,476,488,1-30-2017,16:50
108,1,1,2225,2181,2243,462,473,484,1-30-2017,16:53
108,1,1,2218,2181,2243,460,472,484,1-30-2017,16:56
108,1,1,2218,2181,2243,463,475,487,1-30-2017,16:59
108,1,1,2218,2181,2237,464,477,488,1-30-2017,17:02
108,1,1,2218,2181,2243,465,478,489,1-30-2017,17:05
108,1,1,2218,2181,2237,466,479,491,1-30-2017,17:08
108,1,1,2218,2181,2237,464,476,488,1-30-2017,17:11
108,1,1,2218,2181,2237,463,475,487,1-30-2017,17:14
108,1,1,2218,2181,2237,465,477,488,1-30-2017,17:17
108,1,1,2218,2181,2237,467,480,491,1-30-2017,17:20
108,1,1,2212,2181,2231,459,474,483,1-30-2017,17:23
108,1,1,2212,2181,2231,461,473,485,1-30-2017,17:26
108,1,1,2212,2181,2231,460,472,484,1-30-2017,17:29
108,1,1,2212,2181,2231,464,476,487,1-30-2017,17:32
108,1,1,2212,2187,2225,462,475,487,1-30-2017,17:35
108,1,1,2212,2181,2225,464,475,487,1-30-2017,17:38
108,1,1,2212,2187,2225,467,480,491,1-30-2017,17:41
108,1,1,2212,2181,2225,464,476,488,1-30-2017,17:44
108,1,1,2212,2181,2225,466,478,489,1-30-2017,17:47
108,1,1,2212,2181,2225,468,481,493,1-30-2017,17:50
108,1,1,2212,2187,2225,458,473,482,1-30-2017,17:53
108,1,1,2206,2187,2225,465,477,489,1-30-2017,17:56
108,1,1,2212,2187,2225,464,477,488,1-30-2017,17:59
108,1,1,2212,2187,2225,463,476,487,1-30-2017,18:02
108,1,1,2212,2187,2225,464,477,488,1-30-2017,18:05
108,1,1,2206,2187,2225,466,479,490,1-30-2017,18:08
108,1,1,2206,2187,2225,468,480,492,1-30-2017,18:11
108,1,1,2206,2187,2225,467,479,491,1-30-2017,18:14
108,1,1,2206,2187,2225,464,476,488,1-30-2017,18:17
108,1,1,2212,2187,2225,464,476,488,1-30-2017,18:20
108,1,1,2206,2187,2225,463,475,487,1-30-2017,18:23
108,1,1,2206,2187,2218,464,475,488,1-30-2017,18:26
108,1,1,2206,2187,2218,468,481,492,1-30-2017,18:29
108,1,1,2206,2187,2218,464,476,488,1-30-2017,18:32
108,1,1,2206,2187,2218,466,478,489,1-30-2017,18:35
